gene	TESTSRR1925826	TESTSRR1925827	TESTSRR1925828	TESTSRR1925829	TESTSRR1925830	TESTSRR1925831	TESTSRR1925832	TESTSRR1925833	TESTSRR1925834	TESTSRR1925835	TESTSRR1925836	TESTSRR1925837	TESTSRR1925838	TESTSRR1925839	TESTSRR1925840	TESTSRR1925841	TESTSRR1925842	TESTSRR1925843	TESTSRR1925844	TESTSRR1925845
COL4A1	51.8202	86.6954	82.385100001405	86.3382000000913	67.3453000002643	53.0298	63.020700000129	49.346315	72.4248000012046	81.9465000032008	34.5492	35.9735	100.45	120.162000000268	132.338000001743	62.6411	45.9403000075205	33.5922000001367	41.0653000007856	43.7335000004024
COL4A2	30.4063	54.8771	51.6254	54.8324	46.2407	39.7119	47.0612	42.8721	73.1866	75.8373	32.3714	31.2591	64.1274	78.0167	84.0103	40.2136	31.7349	20.2159	30.6957	32.8973
COL4A3	0.1134	0.17888	0.188398	0.163934	0.251618	0.206437	0.260078	0.202909	0.25906	0.219862	0.145125	0.150923	0.154906	0.3042	0.130387	0.16839	0.157187	0.163589	0.2238	0.259735
COL4A3BP	39.77083	51.108	54.2184	54.1269	52.954	54.3963	56.7957	53.9486	69.2258	75.3829	53.3157	50.20907	53.9282	57.3631	55.1975	58.8213	32.976	34.8647	45.9764	54.8116
COL4A4	0.0151826	0.0247632	0.0937608	0.0175689	0.0758516	0.0413765	0.0808599	0.0593707	0.0473204	0.0927685	0.0777968	0.0210823	0.0550231	0.0386355	0.0278597	0.0313314	0.0838348	0.0839621	0.143206	0.177916
COL4A5	1.588905	2.074574	1.6611481	1.887633	1.555769	1.477613	2.274148	1.112042	1.57783	2.066899	0.542702	0.588596	2.570844	1.998825033	3.63649319	3.12825	5.09521	4.35335	5.8048	8.15537
COL4A6	0.402138	0.30788	0.257005	0.430907	0.0817481	0.163711	0.372852	0.187657	0.234765	0.403708	0.069206	0.0166528	0.261028	0.188203	0.617899	0.778354	2.27228	1.82831	2.28594	3.51061
COL5A1	9.09057	16.112	15.1092	17.324	12.5276	5.29306	8.87949	3.6819	4.7819	6.8752	6.70967	5.75505	19.8679	25.7119	27.4027	12.169	11.47	6.84649	13.8929	21.8368
COL5A2	21.9901	32.9964	29.3309	29.0115	24.9943	8.79016	13.5576	6.02177	11.3104	14.4792	10.4604	11.2281	49.9459	56.6519	55.5436	23.2662	15.5345	9.25619	21.0192	28.1276
COL5A3	3.072135	5.790326727	12.43678	9.598759	3.048166	1.3285	2.14094445	0.60783	1.001974646	1.439468	0.82915300396459	0.78702280886	8.21248	12.28267	11.726396	3.626104	3.17877	2.5594127	3.388052	6.144374
COL6A1	30.8344	65.6744	46.055	51.3199	55.5929	21.0714	31.2565	21.7793	23.5816	26.7393	16.622	17.905	66.595	79.0976	91.4235	53.3599	60.806	49.8646	68.9551	98.2638
COL6A2	24.98962	54.32663	38.6224	44.09199	45.48796	16.85895	28.44456	18.16739	18.16376	20.90794	11.82414	11.51794	55.73792	67.56126	77.48312	46.23783	43.66911	35.42115	52.72304	72.2331
COL6A3	10.076115	17.17723	15.66097	17.59437	14.25476	5.777725	8.45662	4.216714	5.219896	8.44148	3.900913	4.295224	25.4892	32.98867	30.83501	14.27468	13.1529	8.64977	14.96603	21.11644
COL6A5	0.667992	0.859779	1.47962	1.77104	0.393445	0.120128	0.258763	0.216301	0.109792	0.157231	0.0254295	0.0428875	1.21571	1.34035	1.00421	1.2267	1.26213	1.34578	2.10283	2.93823
COL6A6	0.00570804	0	0.0485352	0.00657977	0	0.00876932	0	0	0	0	0	0	0	0	0	0	0	0.0134842	0.0217848	0.1127
COL7A1	0.80018446	2.106522	2.430852	2.060966	1.374451945	0.3248141865	0.4391796492	0.2689615467	0.188712038	0.389215416	0.364070077	0.3145810053	2.763964	4.060854	2.331031	1.421978944	0.282324113	0.313347221	0.802025	0.624686633
COL8A1	1.19288	1.52578	3.13605	2.63432	0.899572	0.758907	1.3416	0.813852	1.71896	1.76767	0.563911	0.505161	3.64738	4.25464	4.54893	3.01393	8.47185	2.06786	11.3733	8.61949
COL8A2	0.189409	0.132344	0.116072	0.073154	0.0856763	0.0737612	0.112177	0.105659	0.152013	0.175588	0.103873	0.0125065	0.249903	0.107292	0.198459	0.125019	1.99156	0.802173	2.39552	2.22814
COL9A1	0.10589	0.678334	0.490734	0.260287	0.558308	0.522526	0.610382	0.542525	0.223504	0.258154	0.253884	0.091815	0.164152	0.138101	0.21832	0.0204203	0.0364012	0.0337441	0.0336532	0.0372342
COL9A2	2.76364	7.68613	7.54578	3.91598	11.3604	5.82714	6.05778	9.0059	1.85845	3.65063	1.97847	2.18173	3.82328	3.48356	1.70094	1.32582	1.13915	1.023	1.01789	1.13292
COL9A3	8.54335	11.1257	9.90373	4.58273	14.6694	6.35294	8.0144	7.47919	1.91234	4.46342	1.96468	1.30185	8.28639	5.80153	7.19908	3.69457	0.4018	0.252037	0.394653	0.316492
COLEC10	0.316206	0.560478	0.261445	0.342829	0.225035	0.0840319	0.108785	0.0997407	0.148161	0.201488	0.157719	0.142248	1.10367	0.863175	0.912695	0.657137	4.49572	0.808207	1.68523	1.25822
COLEC11	0.34847	0.380329	0.3150470219853	0.14594700250436	0.300527	0.215081000532239	0.44863300312925	0.30830900230878	0.4881740038062	0.306898	0.120719000586221	0.260338	0.54009200285179	0.472171	0.232089	0.440455000657213	0.39239000955618	0.52327600547654	0.438457	0.26557100673381
COLEC12	11.279	15.2812	12.396	10.1459	12.6469	6.55407	9.38974	6.19557	10.0911	12.6158	9.67226	10.6457	21.498	21.1255	22.472	14.3004	15.1545	9.09822	17.1696	20.1573
COLGALT2	0.212903	0.26002	0.287666	0.220793	0.130609	0.174179	0.0754928	0.10384	0.291078	0.273024	0.0815793	0.088271	0.550536	0.766037	0.764751	0.562074	0.919673	0.478693	0.92735	0.793735
COLQ	0.215173	0.1511902	0.0822054	0.0996893	0.0392376	0.0393982	0.0762616	0.11257	0.0747986	0.0702385	0.0275077	0.0994215	0.133984	0.150184	0.211648	0.111172	0.896034	0.458894	3.29634	0.5734298
COMMD1	105.772259	103.641674	114.004166	104.664274	85.749153	97.460042	104.856946	92.639644	69.933191	71.626158	54.97939	53.06759	89.585539	89.30034	90.97082	74.95294	79.03721	89.1983754	90.183726	99.705295
COMMD10	39.1309	51.3529	50.5594	46.1583	53.1431	43.9477	42.6786	51.8589	31.0472	34.0483	30.2541	22.1766	39.9878	38.9126	33.5888	31.4395	24.9423	25.3199	34.2055	36.8774
COMMD2	19.4392	20.5227	24.102	19.4515	18.5778	22.8816	21.0396	21.7401	17.3164	18.9037	17.6126	13.7697	18.6998	18.1066	16.1733	16.6678	12.6564	12.4259	13.651	12.5648
COMMD3	124.454	138.246	131.796	109.458	150.522	115.703	128.38	126.994	90.6076	97.4838	94.5245	74.0708	129.823	123.74	100.929	90.0455	87.0519	73.4414	91.3401	96.0052
COMMD4	86.32648	92.4924	88.70806	72.06849	81.41661	83.35245	82.92943	90.7446	66.63569	72.52153	58.32572	57.58579	80.82389	78.082497	66.133713	64.97941	53.15918	54.16577	68.54839	62.63485
COMMD5	29.4796	32.7021	28.8645	33.4733	37.5045	28.812	30.9676	35.7336	33.6892	28.2458	30.3336	25.2001	34.44	36.7518	29.767	28.6019	29.1333	36.5885	39.2505	46.4284
COMMD7	23.21752	27.12253	31.20529	27.42625	28.5851	32.15304	31.38543	30.24293	28.83681	31.96985	18.72007	16.87756	28.03404	30.69894	28.56223	27.20179	18.48988	20.37337	21.39979	24.22177
COMMD8	25.0849	23.6828	24.0432	22.7706	23.6099	22.1145	23.0548	20.2307	17.8521	21.2894	15.7854	14.9252	25.8611	23.0769	22.3799	20.6241	15.7976	18.127	21.6025	19.9641
COMMD9	36.8819	43.114	42.8913	39.5851	40.3117	40.0363	35.429	37.5885	27.0635	29.7284	21.3902	21.6728	33.037	35.3422	29.9622	28.4034	29.3073	29.2442	28.667	31.9585
COMP	0.531411	0.794705	0.510582	0.176321	0.344909	0.369984	0.304427	0.265757	0.0876479	0.392289	0.0973156	0.0935275	0.394258	0.406254	0.465402	0.3414	0.561554	0.410883	0.257591	0.334327
COMT	92.2766	122.4093	113.863	103.0413	110.9622	99.8941	103.6028	91.0339	61.14947	64.50311	54.41279	48.44011	75.59673	79.6102	63.0344	62.62926	65.83614	75.95334	86.3238	105.34
COMTD1	14.3886	16.3983	11.0443	13.0281	10.7028	12.9241	12.6036	14.9955	7.07238	7.95455	6.28268	8.00887	13.5134	11.6766	10.8102	13.853	11.0205	15.1267	11.5894	12.411
COPA	123.41	150.03	148.203	138.393	143.844	139.49	147.74	138.686	151.172	157.179	157.339	137.605	152.656	150.08	162.405	146.403	133.383	123.424	149.672	158.468
COPB1	106.002	116.76	124.742	128.562	120.763	109.772	116.218	108.651	115.779	115.956	93.3043	87.3292	125.427	119.767	134.501	127.015	136.829	134.259	151.278	155.128
COPB2	130.571	142.53	151.678	151.455	137.534	129.444	131.672	132.219	138.171	138.595	124.796	115.925	147.62	146.463	154.324	144.212	175.351	149.788	169.471	164.661
COPE	179.62	209.786	207.077	204.841	188.166	187.657	185.708	226.903	188.04	183.664	221.198	202.04	209.081	204.349	198.881	195.808	225.15	185.15	194.516	205.63
COPG1	75.18113	83.8614	88.02061	84.23246	82.80463	82.30378	86.03428	84.61185	70.54446	76.99371	77.7467	71.251202	80.12543	72.277542	86.45613	72.79738	80.99008	66.31031	81.57929	85.53713
COPG2	41.3677	45.6112	45.976	43.8791	46.1388	44.1681	44.9284	47.6447	50.1903	51.2882	39.0628	36.5735	45.2719	43.4564	42.9362	37.1004	27.6291	28.1649	35.5807	35.4456
COPRS	22.0199	22.7233	22.3604	23.4379	19.6529	20.7654	25.1514	22.558	15.6657	12.1322	10.1176	8.46541	19.8209	19.8525	13.2193	19.6003	26.4365	29.2091	28.132	30.0985
COPS2	64.889704	69.224896	73.620443	66.469578	73.27284	68.921154	71.653192	57.534247	48.05128	49.56416	47.542167	39.2888	57.982657	61.073631	60.454228	49.9711	48.540127	50.05014	60.760727	61.62163
COPS3	77.3675	91.4428	95.9594	99.7955	83.4385	89.2108	87.4107	82.9276	60.1132	57.7878	51.8743	48.1401	68.7552	67.128	70.1692	62.986	73.2409	75.626	79.6981	79.8677
COPS4	86.7183	98.4868	102.989	101.498	92.0986	98.373	99.5826	79.0366	63.8018	65.5022	48.2793	44.3218	82.8737	89.7111	74.7233	67.9945	74.3124	73.3967	79.371	82.1948
COPS5	98.09889	110.92591	115.13888	105.6151	116.97024	116.342659	108.46259	109.70458	78.921575	79.27598	82.94903	71.00033	85.35777	86.51458	78.1561	72.2133	67.09715	59.37017	72.24718	76.2484
COPS6	141.689	152.348	157.515	149.345	140.545	143.23	137.891	140.717	112.072	107.271	129.179	123.236	128.914	125.154	127.183	117.976	117.691	116.939	131.914	131.134
COPS7A	104.90776	126.60126	124.88858	121.03363	106.90789	132.95329	134.32262	120.53626	78.301195	81.601802	66.408367	57.975089	88.621042	88.23961	93.97481	82.25878	89.01847	100.9277	103.07436	104.88837
COPS7B	18.42746	22.13381	24.64015	20.87509	19.80848	22.90066	22.77531	20.24625	11.68303	15.26501	11.459112	9.76803	18.06595	18.43173	15.56139	13.81172	14.16105	14.307379	15.81551	16.29335
