gene	geneID
ATP2B1	490
ATP2B2	491
ATP2B3	492
ATP2B4	493
ATP4A	495
ATP4B	496
ATP5F1A	498
ALDH7A1	501
ATP5F1AP2	504
ATP5F1B	506
ATP5F1BP1	507
ATP5F1C	509
ATP5F1D	513
ATP5F1E	514
ATP5PB	515
ATP5MC1	516
ATP5MC2	517
ATP5MC3	518
ATP5MC2P1	520
ATP5ME	521
ATP5PF	522
ATP6V1A	523
ATP6V1B1	525
ATP6V1B2	526
ATP6V0C	527
ATP6V1C1	528
ATP6V1E1	529
ATP6V0B	533
ATP6V1G2	534
ATP6V0A1	535
ATP6AP1	537
ATP7A	538
ATP5PO	539
ATP7B	540
ALDH7A1P1	541
ALDH7A1P2	542
ALDH7A1P3	543
ALDH7A1P4	544
ATR	545
ATRX	546
KIF1A	547
AUH	549
AUP1	550
AVP	551
AVPR1A	552
AVPR1B	553
AVPR2	554
AXL	558
AZF1	560
AZGP1	563
AZU1	566
B2M	567
B2MR	568
BAAT	570
BACH1	571
BAD	572
BAG1	573
BAGE	574
ADGRB1	575
ADGRB2	576
ADGRB3	577
BAK1	578
NKX3-2	579
BARD1	580
BAX	581
BBS1	582
BBS2	583
BBS4	585
BCAT1	586
BCAT2	587
BCHE	590
BCKDHA	593
BCKDHB	594
CCND1	595
BCL2	596
BCL2A1	597
BCL2L1	598
BCL2L2	599
BAK1P1	600
BAK1P2	601
BCL3	602
BCL5	603
BCL6	604
BCL7A	605
NBEAP1	606
BCL9	607
TNFRSF17	608
HCN2	610
OPN1SW	611
BCR	613
BCRP4	616
BCS1L	617
BCYRN1	618
BCYRN1P1	619
BCYRN1P2	620
BDH1	622
BDKRB1	623
BDKRB2	624
BDNF	627
CFB	629
BFSP1	631
BGLAP	632
BGN	633
CEACAM1	634
BHMT	635
BICD1	636
BID	637
BIK	638
PRDM1	639
BLK	640
BLM	641
BLMH	642
CXCR5	643
BLVRA	644
BLVRB	645
BNC1	646
BMI1	648
BMP1	649
BMP2	650
BMP3	651
BMP4	652
BMP5	653
BMP6	654
BMP7	655
BMP8B	656
BMPR1A	657
BMPR1B	658
BMPR2	659
BMX	660
POLR3D	661
BNIP1	662
BNIP2	663
BNIP3	664
BNIP3L	665
BOK	666
DST	667
FOXL2	668
BPGM	669
BPHL	670
BPI	671
BRCA1	672
BRAF	673
BRCA2	675
BRDT	676
ZFP36L1	677
ZFP36L2	678
BRS3	680
BSG	682
BST1	683
BST2	684
BTC	685
BTD	686
KLF9	687
KLF5	688
BTF3	689
BTF3P11	690
BTF3P1	693
BTG1	694
BTK	695
BTN1A1	696
BTS1	698
BUB1	699
BVR1	700
BUB1B	701
BYSL	705
TSPO	706
C1QBP	708
SERPING1	710
ERC2-IT1	711
C1QA	712
C1QB	713
C1QC	714
C1R	715
C1S	716
C2	717
C3	718
C3AR1	719
C4A	720
C4B	721
C4BPA	722
C4BPAP2	724
C4BPB	725
CAPN5	726
C5	727
C5AR1	728
C6	729
C7	730
C8A	731
C8B	732
C8G	733
OSGIN2	734
C9	735
VPS51	738
MRPL49	740
ZNHIT2	741
MPPED2	744
MYRF	745
TMEM258	746
DAGLA	747
GAS8-AS1	750
FMNL1	752
LDLRAD4	753
PTTG1IP	754
CFAP410	755
TMEM50B	757
MPPED1	758
CA1	759
CA2	760
CA3	761
CA4	762
CA5A	763
CA5AP1	764
CA6	765
CA7	766
CA8	767
CA9	768
CA11	770
CA12	771
CACD	772
CACNA1A	773
CACNA1B	774
CACNA1C	775
CACNA1D	776
CACNA1E	777
CACNA1F	778
CACNA1S	779
DDR1	780
CACNA2D1	781
CACNB1	782
CACNB2	783
CACNB3	784
CACNB4	785
CACNG1	786
SLC25A20	788
SLC25A20P1	789
CAD	790
CALB1	793
CALB2	794
S100G	795
CALCA	796
CALCB	797
CALCP	798
CALCR	799
CALD1	800
CALM1	801
CALM1P1	802
CALM1P2	804
CALM2	805
CALM2P2	806
CALM2P3	807
CALM3	808
CALML3	810
CALR	811
CALU	813
CAMK4	814
CAMK2A	815
CAMK2B	816
CAMK2D	817
CAMK2G	818
CAMLG	819
CAMP	820
CANX	821
CAPG	822
CAPN1	823
CAPN2	824
CAPN3	825
CAPNS1	826
CAPN6	827
CAPS	828
CAPZA1	829
CAPZA2	830
CAST	831
CAPZB	832
CARS	833
CASP1	834
CASP2	835
CASP3	836
CASP4	837
CASP5	838
CASP6	839
CASP7	840
CASP8	841
CASP9	842
CASP10	843
CASQ1	844
CASQ2	845
CASR	846
CAT	847
CATR1	856
CAV1	857
CAV2	858
CAV3	859
RUNX2	860
RUNX1	861
RUNX1T1	862
CBFA2T3	863
RUNX3	864
CBFB	865
SERPINA6	866
CBL	867
CBLB	868
CBLN1	869
SERPINH1	871
CBR1	873
CBR3	874
CBS	875
CCA1	878
CCIN	881
CCAL1	882
KYAT1	883
CCK	885
CCKAR	886
CCKBR	887
KRIT1	889
CCNA2	890
CCNB1	891
CCNC	892
CCND2	894
CCND2P1	895
CCND3	896
CCND3P1	897
CCNE1	898
CCNF	899
CCNG1	900
CCNG2	901
CCNH	902
CCNT1	904
CCNT2	905
CCT	907
CCT6A	908
CD1A	909
CD1B	910
CD1C	911
CD1D	912
CD1E	913
CD2	914
CD3D	915
CD3E	916
CD3G	917
CD247	919
CD4	920
CD5	921
CD5L	922
CD6	923
CD7	924
CD8A	925
CD8B	926
CD8B2	927
CD9	928
CD14	929
CD19	930
MS4A1	931
MS4A3	932
CD22	933
CD24P1	935
CD24P2	936
CD24P3	937
CD24P4	938
CD27	939
CD28	940
CD80	941
CD86	942
TNFRSF8	943
TNFSF8	944
CD33	945
SIGLEC6	946
CD34	947
CD36	948
SCARB1	949
SCARB2	950
CD37	951
CD38	952
ENTPD1	953
ENTPD2	954
ENTPD6	955
ENTPD3	956
ENTPD5	957
CD40	958
CD40LG	959
CD44	960
CD47	961
CD48	962
CD53	963
CD58	965
CD59	966
CD63	967
CD68	968
CD69	969
CD70	970
CD72	971
CD74	972
CD79A	973
CD79B	974
CD81	975
ADGRE5	976
CD151	977
CDA	978
CDAN3	981
CDB2	982
CDK1	983
CDK11B	984
LRBA	987
CDC5L	988
SEPT7	989
CDC6	990
CDC20	991
CDC25A	993
CDC25B	994
CDC25C	995
CDC27	996
CDC34	997
CDC42	998
CDH1	999
CDH2	1000
CDH3	1001
CDH4	1002
CDH5	1003
CDH6	1004
CDH7	1005
CDH8	1006
CDH9	1007
CDH10	1008
CDH11	1009
CDH12	1010
CDH12P2	1011
CDH13	1012
CDH15	1013
CDH16	1014
CDH17	1015
CDH18	1016
CDK2	1017
CDK3	1018
CDK4	1019
CDK5	1020
CDK6	1021
CDK7	1022
CDL2	1023
CDK8	1024
CDK9	1025
CDKN1A	1026
CDKN1B	1027
CDKN1C	1028
CDKN2A	1029
CDKN2B	1030
CDKN2C	1031
CDKN2D	1032
CDKN3	1033
CDO1	1036
CDR1	1038
CDR2	1039
CDS1	1040
CDSN	1041
CD52	1043
CDX1	1044
CDX2	1045
CDX4	1046
CLGN	1047
CEACAM5	1048
CEBPA	1050
CEBPB	1051
CEBPD	1052
CEBPE	1053
CEBPG	1054
CECR	1055
CEL	1056
CELP	1057
CENPA	1058
CENPB	1059
CENPC	1060
CENPCP1	1061
CENPE	1062
CENPF	1063
CES1	1066
CETN1	1068
CETN2	1069
CETN3	1070
CETP	1071
CFL1	1072
CFL2	1073
CFL1P5	1074
CTSC	1075
CFTR	1080
CGA	1081
CGB3	1082
CGF1	1083
CEACAM3	1084
CEACAMP5	1085
CEACAMP11	1086
CEACAM7	1087
CEACAM8	1088
CEACAM4	1089
CEACAMP1	1090
CEACAMP2	1091
CEACAMP3	1092
CEACAMP4	1093
CEACAMP6	1094
CEACAMP7	1095
CEACAMP8	1096
CEACAMP9	1097
CEACAMP10	1098
CHAD	1101
RCBTB2	1102
CHAT	1103
RCC1	1104
CHD1	1105
CHD2	1106
CHD3	1107
CHD4	1108
AKR1C4	1109
CHEK1	1111
FOXN3	1112
CHGA	1113
CHGB	1114
CHI3L1	1116
CHI3L2	1117
CHIT1	1118
CHKA	1119
CHKB	1120
CHM	1121
CHML	1122
CHN1	1123
CHN2	1124
CHRM1	1128
CHRM2	1129
LYST	1130
CHRM3	1131
CHRM4	1132
CHRM5	1133
CHRNA1	1134
CHRNA2	1135
CHRNA3	1136
CHRNA4	1137
CHRNA5	1138
CHRNA7	1139
CHRNB1	1140
CHRNB2	1141
CHRNB3	1142
CHRNB4	1143
CHRND	1144
CHRNE	1145
CHRNG	1146
CHUK	1147
CIDEA	1149
CKB	1152
CIRBP	1153
CISH	1154
TBCB	1155
CKBE	1156
CKBP1	1157
CKM	1158
CKMT1B	1159
CKMT2	1160
ERCC8	1161
CKS1B	1163
CKS2	1164
CLA3	1167
AP2M1	1173
AP1S1	1174
AP2S1	1175
AP3S1	1176
CLC	1178
CLCA1	1179
CLCN1	1180
CLCN2	1181
CLCN3	1182
CLCN4	1183
CLCN5	1184
CLCN6	1185
CLCN7	1186
CLCNKA	1187
CLCNKB	1188
CLU	1191
CLIC1	1192
CLIC2	1193
CLK1	1195
CLK2	1196
CLK2P1	1197
CLK3	1198
TPP1	1200
CLN3	1201
CLN5	1203
CLNS1AP1	1204
CLNS1A	1207
CLPS	1208
CLPTM1	1209
CLTA	1211
CLTB	1212
CLTC	1213
CMA1	1215
CMD1B	1218
CCR1	1230
CCR3	1232
CCR4	1233
CCR5	1234
CCR6	1235
CCR7	1236
CCR8	1237
ACKR2	1238
CMKLR1	1240
LTB4R	1241
CMM	1243
ABCC2	1244
CMR1A	1245
CMR2A	1246
CMR3A	1247
CMTX2	1253
CMTX3	1254
CNA1	1255
CNC2	1257
CNGB1	1258
CNGA1	1259
CNGA2	1260
CNGA3	1261
CNGA4	1262
PLK3	1263
CNN1	1264
CNN2	1265
CNN3	1266
CNP	1267
CNR1	1268
CNR2	1269
CNTF	1270
CNTFR	1271
CNTN1	1272
COD2	1275
COL1A1	1277
COL1A2	1278
COL1AR	1279
COL2A1	1280
COL3A1	1281
COL4A1	1282
CTD	1283
COL4A2	1284
COL4A3	1285
COL4A4	1286
COL4A5	1287
COL4A6	1288
COL5A1	1289
COL5A2	1290
COL6A1	1291
COL6A2	1292
COL6A3	1293
COL7A1	1294
COL8A1	1295
COL8A2	1296
COL9A1	1297
COL9A2	1298
COL9A3	1299
COL10A1	1300
COL11A1	1301
